"filename", "language", "XML", "Java", "Java Properties", "Docker", "Batch", "comment", "blank", "total"
"c:\Users\name\Documents\mygame\src\main\java\com\mygame\dto\employee\EmployeeResponse.java", "Java", 0, 16, 0, 0, 0, 0, 4, 20
"c:\Users\name\Documents\mygame\src\main\java\com\mygame\dto\employee\JobLevelRequest.java", "Java", 0, 7, 0, 0, 0, 0, 3, 10
"c:\Users\name\Documents\mygame\src\main\java\com\mygame\dto\employee\JobLevelResponse.java", "Java", 0, 11, 0, 0, 0, 0, 4, 15
"c:\Users\name\Documents\mygame\src\main\java\com\mygame\dto\employee\JobTitleRequest.java", "Java", 0, 7, 0, 0, 0, 0, 3, 10
"c:\Users\name\Documents\mygame\src\main\java\com\mygame\dto\employee\JobTitleResponse.java", "Java", 0, 11, 0, 0, 0, 0, 4, 15
"c:\Users\name\Documents\mygame\src\main\java\com\mygame\dto\employee\JobTypeRequest.java", "Java", 0, 7, 0, 0, 0, 0, 3, 10
"c:\Users\name\Documents\mygame\src\main\java\com\mygame\dto\employee\JobTypeResponse.java", "Java", 0, 11, 0, 0, 0, 0, 4, 15
"c:\Users\name\Documents\mygame\src\main\java\com\mygame\dto\employee\OfficeRequest.java", "Java", 0, 9, 0, 0, 0, 0, 3, 12
"c:\Users\name\Documents\mygame\src\main\java\com\mygame\dto\employee\OfficeResponse.java", "Java", 0, 13, 0, 0, 0, 0, 4, 17
"c:\Users\name\Documents\mygame\src\main\java\com\mygame\dto\general\EventInitiationResponse.java", "Java", 0, 8, 0, 0, 0, 0, 3, 11
"c:\Users\name\Documents\mygame\src\main\java\com\mygame\dto\general\ImageRequest.java", "Java", 0, 14, 0, 0, 0, 0, 3, 17
"c:\Users\name\Documents\mygame\src\main\java\com\mygame\dto\general\ImageResponse.java", "Java", 0, 13, 0, 0, 0, 0, 3, 16
"c:\Users\name\Documents\mygame\src\main\java\com\mygame\dto\general\NotificationRequest.java", "Java", 0, 13, 0, 0, 0, 0, 3, 16
"c:\Users\name\Documents\mygame\src\main\java\com\mygame\dto\general\NotificationResponse.java", "Java", 0, 15, 0, 0, 0, 0, 4, 19
"c:\Users\name\Documents\mygame\src\main\java\com\mygame\dto\general\UploadedImageResponse.java", "Java", 0, 9, 0, 0, 0, 0, 3, 12
"c:\Users\name\Documents\mygame\src\main\java\com\mygame\dto\inventory\CountRequest.java", "Java", 0, 13, 0, 0, 0, 0, 4, 17
"c:\Users\name\Documents\mygame\src\main\java\com\mygame\dto\inventory\CountResponse.java", "Java", 0, 17, 0, 0, 0, 0, 4, 21
"c:\Users\name\Documents\mygame\src\main\java\com\mygame\dto\inventory\CountVariantKeyRequest.java", "Java", 0, 7, 0, 0, 0, 0, 3, 10
"c:\Users\name\Documents\mygame\src\main\java\com\mygame\dto\inventory\CountVariantRequest.java", "Java", 0, 8, 0, 0, 0, 0, 3, 11
"c:\Users\name\Documents\mygame\src\main\java\com\mygame\dto\inventory\CountVariantResponse.java", "Java", 0, 33, 0, 0, 0, 0, 6, 39
"c:\Users\name\Documents\mygame\src\main\java\com\mygame\dto\inventory\DestinationRequest.java", "Java", 0, 15, 0, 0, 0, 0, 3, 18
"c:\Users\name\Documents\mygame\src\main\java\com\mygame\dto\inventory\DestinationResponse.java", "Java", 0, 19, 0, 0, 0, 0, 4, 23
"c:\Users\name\Documents\mygame\src\main\java\com\mygame\dto\inventory\DocketReasonRequest.java", "Java", 0, 7, 0, 0, 0, 0, 3, 10
"c:\Users\name\Documents\mygame\src\main\java\com\mygame\dto\inventory\DocketReasonResponse.java", "Java", 0, 11, 0, 0, 0, 0, 4, 15
"c:\Users\name\Documents\mygame\src\main\java\com\mygame\dto\inventory\DocketRequest.java", "Java", 0, 19, 0, 0, 0, 0, 4, 23
"c:\Users\name\Documents\mygame\src\main\java\com\mygame\dto\inventory\DocketResponse.java", "Java", 0, 39, 0, 0, 0, 0, 6, 45
"c:\Users\name\Documents\mygame\src\main\java\com\mygame\dto\inventory\DocketVariantEliminatedResponse.java", "Java", 0, 40, 0, 0, 0, 0, 7, 47
"c:\Users\name\Documents\mygame\src\main\java\com\mygame\dto\inventory\DocketVariantExtendedResponse.java", "Java", 0, 52, 0, 0, 0, 0, 8, 60
"c:\Users\name\Documents\mygame\src\main\java\com\mygame\dto\inventory\DocketVariantKeyRequest.java", "Java", 0, 7, 0, 0, 0, 0, 3, 10
"c:\Users\name\Documents\mygame\src\main\java\com\mygame\dto\inventory\DocketVariantRequest.java", "Java", 0, 7, 0, 0, 0, 0, 3, 10
"c:\Users\name\Documents\mygame\src\main\java\com\mygame\dto\inventory\DocketVariantResponse.java", "Java", 0, 32, 0, 0, 0, 0, 6, 38
"c:\Users\name\Documents\mygame\src\main\java\com\mygame\dto\inventory\ProductInventoryLimitRequest.java", "Java", 0, 11, 0, 0, 0, 0, 3, 14
"c:\Users\name\Documents\mygame\src\main\java\com\mygame\dto\inventory\ProductInventoryLimitResponse.java", "Java", 0, 14, 0, 0, 0, 0, 4, 18
"c:\Users\name\Documents\mygame\src\main\java\com\mygame\dto\inventory\ProductInventoryResponse.java", "Java", 0, 29, 0, 0, 0, 0, 5, 34
"c:\Users\name\Documents\mygame\src\main\java\com\mygame\dto\inventory\PurchaseOrderRequest.java", "Java", 0, 15, 0, 0, 0, 0, 4, 19
"c:\Users\name\Documents\mygame\src\main\java\com\mygame\dto\inventory\PurchaseOrderResponse.java", "Java", 0, 41, 0, 0, 0, 0, 6, 47
"c:\Users\name\Documents\mygame\src\main\java\com\mygame\dto\inventory\PurchaseOrderVariantKeyRequest.java", "Java", 0, 7, 0, 0, 0, 0, 3, 10
"c:\Users\name\Documents\mygame\src\main\java\com\mygame\dto\inventory\PurchaseOrderVariantRequest.java", "Java", 0, 9, 0, 0, 0, 0, 3, 12
"c:\Users\name\Documents\mygame\src\main\java\com\mygame\dto\inventory\PurchaseOrderVariantResponse.java", "Java", 0, 34, 0, 0, 0, 0, 6, 40
"c:\Users\name\Documents\mygame\src\main\java\com\mygame\dto\inventory\StorageLocationRequest.java", "Java", 0, 8, 0, 0, 0, 0, 3, 11
"c:\Users\name\Documents\mygame\src\main\java\com\mygame\dto\inventory\StorageLocationResponse.java", "Java", 0, 13, 0, 0, 0, 0, 4, 17
"c:\Users\name\Documents\mygame\src\main\java\com\mygame\dto\inventory\TransferRequest.java", "Java", 0, 11, 0, 0, 0, 0, 3, 14
"c:\Users\name\Documents\mygame\src\main\java\com\mygame\dto\inventory\TransferResponse.java", "Java", 0, 15, 0, 0, 0, 0, 4, 19
"c:\Users\name\Documents\mygame\src\main\java\com\mygame\dto\inventory\VariantInventoryLimitRequest.java", "Java", 0, 11, 0, 0, 0, 0, 3, 14
"c:\Users\name\Documents\mygame\src\main\java\com\mygame\dto\inventory\VariantInventoryLimitResponse.java", "Java", 0, 14, 0, 0, 0, 0, 4, 18
"c:\Users\name\Documents\mygame\src\main\java\com\mygame\dto\inventory\VariantInventoryResponse.java", "Java", 0, 37, 0, 0, 0, 0, 6, 43
"c:\Users\name\Documents\mygame\src\main\java\com\mygame\dto\inventory\WarehouseRequest.java", "Java", 0, 12, 0, 0, 0, 0, 3, 15
"c:\Users\name\Documents\mygame\src\main\java\com\mygame\dto\inventory\WarehouseResponse.java", "Java", 0, 16, 0, 0, 0, 0, 4, 20
"c:\Users\name\Documents\mygame\src\main\java\com\mygame\dto\json\ProductPropertyItem.java", "Java", 0, 10, 0, 0, 0, 0, 4, 14
"c:\Users\name\Documents\mygame\src\main\java\com\mygame\dto\json\VariantPropertyItem.java", "Java", 0, 9, 0, 0, 0, 0, 3, 12
"c:\Users\name\Documents\mygame\src\main\java\com\mygame\dto\order\OrderCancellationReasonRequest.java", "Java", 0, 10, 0, 0, 0, 0, 3, 13
"c:\Users\name\Documents\mygame\src\main\java\com\mygame\dto\order\OrderCancellationReasonResponse.java", "Java", 0, 14, 0, 0, 0, 0, 4, 18
"c:\Users\name\Documents\mygame\src\main\java\com\mygame\dto\order\OrderRequest.java", "Java", 0, 30, 0, 0, 0, 0, 4, 34
"c:\Users\name\Documents\mygame\src\main\java\com\mygame\dto\order\OrderResourceRequest.java", "Java", 0, 12, 0, 0, 0, 0, 3, 15
"c:\Users\name\Documents\mygame\src\main\java\com\mygame\dto\order\OrderResourceResponse.java", "Java", 0, 17, 0, 0, 0, 0, 4, 21
"c:\Users\name\Documents\mygame\src\main\java\com\mygame\dto\order\OrderResponse.java", "Java", 0, 35, 0, 0, 0, 0, 4, 39
"c:\Users\name\Documents\mygame\src\main\java\com\mygame\dto\order\OrderVariantKeyRequest.java", "Java", 0, 7, 0, 0, 0, 0, 3, 10
"c:\Users\name\Documents\mygame\src\main\java\com\mygame\dto\order\OrderVariantRequest.java", "Java", 0, 10, 0, 0, 0, 0, 4, 14
"c:\Users\name\Documents\mygame\src\main\java\com\mygame\dto\order\OrderVariantResponse.java", "Java", 0, 35, 0, 0, 0, 0, 6, 41
"c:\Users\name\Documents\mygame\src\main\java\com\mygame\dto\payment\AccessTokenResponse.java", "Java", 0, 22, 0, 0, 0, 0, 5, 27
"c:\Users\name\Documents\mygame\src\main\java\com\mygame\dto\payment\ClientTokenResponse.java", "Java", 0, 10, 0, 0, 0, 0, 3, 13
"c:\Users\name\Documents\mygame\src\main\java\com\mygame\dto\payment\OrderIntent.java", "Java", 0, 5, 0, 0, 0, 0, 2, 7
