Date : 2025-06-10 00:23:15
Directory : c:\Users\name\Documents\mygame
Total : 491 files,  13062 codes, 267 comments, 3290 blanks, all 16619 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
| c:\Users\name\Documents\mygame\src\main\java\com\mygame\controller\waybill\WaybillController.java                 | Java            |         22 |          0 |          6 |         28 |
| c:\Users\name\Documents\mygame\src\main\java\com\mygame\dto\CollectionWrapper.java                                | Java            |         17 |          0 |          6 |         23 |
| c:\Users\name\Documents\mygame\src\main\java\com\mygame\dto\ListResponse.java                                     | Java            |         24 |          0 |          6 |         30 |
| c:\Users\name\Documents\mygame\src\main\java\com\mygame\dto\address\AddressRequest.java                           | Java            |          9 |          0 |          3 |         12 |
| c:\Users\name\Documents\mygame\src\main\java\com\mygame\dto\address\AddressResponse.java                          | Java            |         34 |          0 |          6 |         40 |
| c:\Users\name\Documents\mygame\src\main\java\com\mygame\dto\address\DistrictRequest.java                          | Java            |          8 |          0 |          3 |         11 |
| c:\Users\name\Documents\mygame\src\main\java\com\mygame\dto\address\DistrictResponse.java                         | Java            |         12 |          0 |          4 |         16 |
| c:\Users\name\Documents\mygame\src\main\java\com\mygame\dto\address\ProvinceRequest.java                          | Java            |          7 |          0 |          3 |         10 |
| c:\Users\name\Documents\mygame\src\main\java\com\mygame\dto\address\ProvinceResponse.java                         | Java            |         11 |          0 |          4 |         15 |
| c:\Users\name\Documents\mygame\src\main\java\com\mygame\dto\address\WardRequest.java                              | Java            |          8 |          0 |          3 |         11 |
| c:\Users\name\Documents\mygame\src\main\java\com\mygame\dto\address\WardResponse.java                             | Java            |         12 |          0 |          4 |         16 |
| c:\Users\name\Documents\mygame\src\main\java\com\mygame\dto\authentication\JwtResponse.java                       | Java            |         12 |          0 |          4 |         16 |
| c:\Users\name\Documents\mygame\src\main\java\com\mygame\dto\authentication\LoginRequest.java                      | Java            |          7 |          0 |          3 |         10 |
| c:\Users\name\Documents\mygame\src\main\java\com\mygame\dto\authentication\RefreshTokenRequest.java               | Java            |          6 |          0 |          3 |          9 |
| c:\Users\name\Documents\mygame\src\main\java\com\mygame\dto\authentication\RegistrationRequest.java               | Java            |          7 |          0 |          3 |         10 |
| c:\Users\name\Documents\mygame\src\main\java\com\mygame\dto\authentication\RegistrationResponse.java              | Java            |          8 |          0 |          3 |         11 |
| c:\Users\name\Documents\mygame\src\main\java\com\mygame\dto\authentication\ResetPasswordRequest.java              | Java            |          8 |          0 |          3 |         11 |
| c:\Users\name\Documents\mygame\src\main\java\com\mygame\dto\authentication\RoleRequest.java                       | Java            |          8 |          0 |          3 |         11 |
| c:\Users\name\Documents\mygame\src\main\java\com\mygame\dto\authentication\RoleResponse.java                      | Java            |         12 |          0 |          4 |         16 |
| c:\Users\name\Documents\mygame\src\main\java\com\mygame\dto\authentication\Role_UserRequest.java                  | Java            |          9 |          0 |          3 |         12 |
| c:\Users\name\Documents\mygame\src\main\java\com\mygame\dto\authentication\UserRequest.java                       | Java            |         17 |          0 |          4 |         21 |
| c:\Users\name\Documents\mygame\src\main\java\com\mygame\dto\authentication\UserResponse.java                      | Java            |         20 |          0 |          4 |         24 |
| c:\Users\name\Documents\mygame\src\main\java\com\mygame\dto\cashbook\ClientPaymentMethodResponse.java             | Java            |          9 |          0 |          3 |         12 |
| c:\Users\name\Documents\mygame\src\main\java\com\mygame\dto\cashbook\PaymentMethodRequest.java                    | Java            |          6 |          0 |          3 |          9 |
| c:\Users\name\Documents\mygame\src\main\java\com\mygame\dto\cashbook\PaymentMethodResponse.java                   | Java            |         13 |          0 |          4 |         17 |
| c:\Users\name\Documents\mygame\src\main\java\com\mygame\dto\chat\ClientRoomExistenceResponse.java                 | Java            |          9 |          0 |          4 |         13 |
| c:\Users\name\Documents\mygame\src\main\java\com\mygame\dto\chat\MessageRequest.java                              | Java            |         11 |          0 |          3 |         14 |
| c:\Users\name\Documents\mygame\src\main\java\com\mygame\dto\chat\MessageResponse.java                             | Java            |         22 |          0 |          5 |         27 |
| c:\Users\name\Documents\mygame\src\main\java\com\mygame\dto\chat\RoomRequest.java                                 | Java            |          7 |          0 |          3 |         10 |
| c:\Users\name\Documents\mygame\src\main\java\com\mygame\dto\chat\RoomResponse.java                                | Java            |         22 |          0 |          5 |         27 |
| c:\Users\name\Documents\mygame\src\main\java\com\mygame\dto\client\ClientBrandResponse.java                       | Java            |          9 |          0 |          3 |         12 |
| c:\Users\name\Documents\mygame\src\main\java\com\mygame\dto\client\ClientCartRequest.java                         | Java            |         13 |          0 |          4 |         17 |
| c:\Users\name\Documents\mygame\src\main\java\com\mygame\dto\client\ClientCartResponse.java                        | Java            |          8 |          0 |          4 |         12 |
| c:\Users\name\Documents\mygame\src\main\java\com\mygame\dto\client\ClientCartVariantKeyRequest.java               | Java            |          7 |          0 |          3 |         10 |
